iter	Logloss
0	0.6743548199
1	0.6576727163
2	0.6426582383
3	0.6291234909
4	0.6173348153
5	0.6065179762
6	0.5974668636
7	0.5890875066
8	0.5814123081
9	0.5747952105
10	0.5684604636
11	0.5627389159
12	0.5576423977
13	0.5532763299
14	0.5492255834
15	0.5452767222
16	0.5336324541
17	0.5238353659
18	0.5154992065
19	0.5088756619
20	0.5030883245
21	0.4976711847
22	0.4932693814
23	0.4893401921
24	0.4862507122
25	0.4834749037
26	0.4812286467
27	0.4790538076
28	0.477554929
29	0.4758490736
30	0.4746138176
31	0.4737207239
32	0.472795919
33	0.4720029987
34	0.4712582364
35	0.4706313234
36	0.4692695577
37	0.468226633
38	0.4676924807
39	0.4670301127
40	0.4664812626
41	0.4660668372
42	0.4656536421
43	0.4650788494
44	0.4645121442
45	0.464088466
46	0.4636990291
47	0.4633460755
48	0.4630477867
49	0.4627250342
50	0.4624262912
51	0.4621222734
52	0.4618165517
53	0.4614532025
54	0.4611545105
55	0.4609229424
56	0.4602788506
57	0.4600138162
58	0.4597499193
59	0.4594629648
60	0.4587202624
61	0.4584494262
62	0.4582025692
63	0.4579758152
64	0.457798755
65	0.4575990781
66	0.4574062302
67	0.4571985935
68	0.4570120534
69	0.4568438569
70	0.4566526993
71	0.4564933834
72	0.4563536227
73	0.456208371
74	0.4560643986
75	0.4559040964
76	0.4557855881
77	0.4556147285
78	0.4554522384
79	0.4553414882
80	0.4552108117
81	0.455102753
82	0.4549673753
83	0.4548587473
84	0.454698991
85	0.4545476352
86	0.4544424563
87	0.4543547592
88	0.4542530145
89	0.454123604
90	0.4540243911
91	0.4539410338
92	0.4536754575
93	0.4535330623
94	0.4534219844
95	0.4533314118
96	0.4531980892
97	0.4526132447
98	0.4524953776
99	0.4524075716
100	0.4522652789
101	0.4521755389
102	0.4520534741
103	0.4519717203
104	0.4519042871
105	0.4517967001
106	0.4517361485
107	0.4516547651
108	0.4515708737
109	0.4510933865
110	0.4509961372
111	0.450925409
112	0.4508267351
113	0.4507357941
114	0.450231458
115	0.4501509624
116	0.4500774754
117	0.4500107535
118	0.4499379065
119	0.4498785244
120	0.4497534347
121	0.4496862316
122	0.449547013
123	0.449491168
124	0.4492404534
125	0.4491602629
126	0.4491015493
127	0.4487711331
128	0.4486868033
129	0.4486371401
130	0.4485614046
131	0.4484886457
132	0.4483866434
133	0.4483262862
134	0.4482700529
135	0.448179537
136	0.4480808344
137	0.4480311051
138	0.4479710504
139	0.4479050972
140	0.4478271638
141	0.4477675476
142	0.4476882426
143	0.4476374754
144	0.4475202558
145	0.4474658223
146	0.4474126009
147	0.4473292036
148	0.4472822777
149	0.4472343914
150	0.4471824929
151	0.4471255842
152	0.4470699819
153	0.4469878856
154	0.4469437428
155	0.4468927041
156	0.4468267333
157	0.4467872264
158	0.4467218423
159	0.4466781947
160	0.4466278628
161	0.4465712011
162	0.4465161377
163	0.4464569177
164	0.4463961812
165	0.4463491272
166	0.4463014581
167	0.4462430794
168	0.4461946695
169	0.4461519149
170	0.446117991
171	0.4460528894
172	0.4459732415
173	0.4459268364
174	0.445884654
175	0.4456403896
176	0.4455978858
177	0.4455273126
178	0.4454820391
179	0.4454027755
180	0.4453646536
181	0.4453085111
182	0.4452693346
183	0.4452259532
184	0.4451915656
185	0.4451337488
186	0.4450918337
187	0.4450416262
188	0.4450017796
189	0.4449722358
190	0.4449314255
191	0.4448969835
192	0.4448565072
193	0.4448230598
194	0.4447430712
195	0.4445513452
196	0.4445132957
197	0.4444813295
198	0.444431279
199	0.4443894116
200	0.4443528784
201	0.4441821495
202	0.4441390862
203	0.4440818062
204	0.4440257099
205	0.4439967502
206	0.4439615396
207	0.4439310215
208	0.4437783211
209	0.4437395738
